item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000051,O000174,P00122,-3,8078.79,15
I0000052,O000878,P00155,-2,213.65,15
I0000053,O000308,P00186,-4,368.75,20
I0000054,O000588,P00309,-5,3264.87,0
I0000055,O001356,P00278,-4,5428.9,5
I0000056,O000305,P00079,-1,4137.54,0
I0000057,O000800,P00328,-2,791.6,25
I0000058,O000232,P00490,-1,509.08,20
I0000059,O000186,P00286,-2,1550.78,0
I0000060,O000723,P00187,-4,6567.52,10
I0000061,O001233,P00493,-4,5768.15,5
I0000062,O000785,P00142,-2,701.84,10
I0000063,O001091,P00547,-4,6013.87,0
I0000064,O001190,P00394,-1,571.34,15
I0000065,O000482,P00225,-1,270.82,0
I0000066,O001144,P00018,-3,4060.63,0
I0000067,O000716,P00113,-1,6349.34,25
I0000068,O000943,P00143,-3,2508.13,25
I0000069,O000432,P00432,-2,5075.01,0
I0000070,O000294,P00142,-1,689.89,0
I0000071,O000111,P00435,-3,6194.16,20
I0000072,O001217,P00076,-4,8327.63,0
I0000073,O000290,P00151,-3,2604.04,0
I0000074,O000853,P00013,-5,1630.45,0
I0000075,O001081,P00482,-2,3094.85,5
I0000076,O000691,P00482,-4,2802.88,20
I0000077,O000228,P00014,-3,745.61,20
I0000078,O000356,P00033,-5,1222.83,0
I0000079,O001393,P00406,-4,5603.06,10
I0000080,O001028,P00265,-5,4556.4,0
I0000081,O000557,P00434,-2,6571.29,15
I0000082,O000434,P00387,-2,3916.07,0
I0000083,O000377,P00225,-4,323.66,15
I0000084,O000978,P00080,-4,6873.49,20
I0000085,O000338,P00415,-4,2306.28,5
I0000086,O000553,P00435,-2,4834.44,0
I0000087,O000688,P00372,-5,2616.97,5
I0000088,O000219,P00167,-5,4494.34,15
I0000089,O000385,P00012,-3,4754.44,20
I0000090,O000552,P00034,-2,1231.86,15
I0000091,O000991,P00046,-5,337.01,5
I0000092,O000018,P00096,-3,1084.65,25
I0000093,O001025,P00290,-4,5376.46,25
I0000094,O000266,P00401,-3,5977.26,0
I0000095,O001032,P00340,-4,4405.34,25
I0000096,O001203,P00154,-1,6608.97,10
I0000097,O000331,P00039,-3,3642.79,10
I0000098,O000475,P00081,-1,4599.72,25
I0000099,O001028,P00145,-2,2800.11,20
I0000100,O000917,P00536,-3,4957.01,5
I0000101,O001277,P00298,-3,7883.01,10
I0000102,O000490,P00041,-4,1431.87,15
I0000103,O001162,P00077,-2,3700.89,10
I0000104,O000293,P00100,-1,2315.81,5
I0000105,O000193,P00090,-4,231.83,0
I0000106,O000140,P00303,-2,3403.95,5
I0000107,O000146,P00362,-1,5559.06,25
I0000108,O000970,P00472,-3,4657.55,25
I0000109,O000254,P00453,-2,799.09,10
I0000110,O000588,P00041,-3,1556.41,25
I0000111,O000752,P00133,-4,7306.93,15
I0000112,O000171,P00322,-3,257.65,15
I0000113,O001398,P00461,-3,755.16,20
I0000114,O001149,P00059,-2,2352.74,25
I0000115,O000770,P00108,-3,461.11,10
I0000116,O000796,P00075,-2,2321.26,20
I0000117,O000955,P00096,-3,898.31,15
I0000118,O000176,P00477,-1,714.32,0
I0000119,O000409,P00407,-4,3342.3,0
I0000120,O001238,P00325,-3,1604.27,20
I0000121,O000571,P00488,-1,6675.93,15
I0000122,O000299,P00160,-4,5468.02,5
I0000123,O000779,P00033,-5,1007.46,25
I0000124,O000970,P00371,-4,968.63,0
I0000125,O000553,P00024,-4,6661.11,0
I0000126,O000142,P00086,-2,170.52,0
I0000127,O000860,P00306,4,4843.71,20
I0000128,O000111,P00266,2,4329.73,10
I0000129,O000337,P00351,3,6075.91,10
I0000130,O001097,P00494,4,2938.46,0
I0000131,O001169,P00448,3,6443.0,0
I0000132,O001368,P00204,1,460.94,0
I0000133,O000030,P00332,3,4712.01,10
I0000134,O000649,P00152,4,660.61,20
I0000135,O001067,P00417,3,4573.59,10
I0000136,O001309,P00129,4,613.23,0
I0000137,O000385,P00038,2,4134.06,15
I0000138,O000774,P00171,5,2279.75,0
I0000139,O000030,P00196,5,3466.97,5
I0000140,O000629,P00017,3,3091.3,25
I0000141,O001329,P00128,4,4577.57,10
I0000142,O000722,P00421,3,4907.4,10
I0000143,O000233,P00536,3,5207.94,10
I0000144,O000363,P00439,3,7288.93,0
I0000145,O000584,P00447,4,505.27,20
I0000146,O001271,P00448,3,7922.9,25
I0000147,O000213,P00102,1,2931.68,0
I0000148,O001017,P00422,1,4207.48,15
I0000149,O001031,P00103,4,7669.28,0
I0000150,O000434,P00297,4,996.43,10
I0000151,O000401,P00391,1,625.37,0
I0000152,O000846,P00360,4,5290.29,20
I0000153,O000768,P00406,1,5287.5,15
I0000154,O001349,P00291,3,3919.54,25
I0000155,O000009,P00425,2,729.32,10
I0000156,O000054,P00034,1,1272.23,5
I0000157,O000651,P00532,5,6439.31,15
I0000158,O001139,P00441,2,7595.09,0
I0000159,O001184,P00403,1,2518.86,20
I0000160,O000826,P00400,2,6567.32,15
I0000161,O000474,P00163,4,492.9,25
I0000162,O000243,P00130,5,1929.61,25
I0000163,O001133,P00402,3,5020.37,5
I0000164,O000192,P00209,1,4563.18,0
I0000165,O001266,P00157,1,5923.47,0
I0000166,O000268,P00392,1,8286.44,20
I0000167,O000491,P00367,2,4002.42,0
I0000168,O001097,P00305,2,3282.18,20
I0000169,O001351,P00388,3,3650.39,0
I0000170,O001308,P00148,1,1044.05,25
I0000171,O000941,P00106,1,948.45,0
I0000172,O000579,P00110,2,3446.33,0
I0000173,O001013,P00096,1,1035.19,25
I0000174,O000207,P00213,4,5196.73,0
I0000175,O000997,P00424,1,8715.3,0
I0000176,O000769,P00216,4,3687.16,20
I0000177,O000369,P00462,2,1225.77,0
I0000178,O000703,P00033,1,1462.41,10
I0000179,O001069,P00006,2,5582.57,0
I0000180,O000061,P00198,5,4191.52,15
I0000181,O000443,P00525,2,1340.22,0
I0000182,O000671,P00223,1,2115.93,0
I0000183,O000561,P00130,3,1819.71,0
I0000184,O001336,P00357,5,2240.21,20
I0000185,O001050,P00508,4,4511.04,0
I0000186,O000406,P00257,2,5629.42,20
I0000187,O000211,P00288,4,4950.11,25
I0000188,O000422,P00320,2,7015.39,10
I0000189,O000868,P00444,4,3895.71,5
I0000190,O000221,P00327,5,1348.76,10
I0000191,O000723,P00205,5,6889.3,20
I0000192,O000343,P00066,4,2807.82,15
I0000193,O000840,P00260,5,2239.89,25
I0000194,O000816,P00544,3,3987.58,0
I0000195,O000381,P00331,4,473.61,0
I0000196,O000762,P00221,3,3118.1,5
I0000197,O000653,P00126,1,2761.59,20
I0000198,O000954,P00337,2,4060.2,5
I0000199,O000136,P00239,5,4180.34,15
I0000200,O000446,P00218,5,2263.31,5
I0000201,O001324,P00077,5,3410.72,25
I0000202,O000656,P00446,3,4723.38,0
I0000203,O000096,P00506,4,4377.83,10
I0000204,O000928,P00123,1,1145.4,5
I0000205,O001181,P00393,2,2802.19,0
I0000206,O000583,P00005,4,6257.86,10
I0000207,O001081,P00038,5,3483.15,20
I0000208,O000963,P00017,1,2588.5,25
I0000209,O000563,P00426,3,6035.19,5
I0000210,O001140,P00410,1,2222.75,10
I0000211,O000612,P00049,4,1856.87,10
I0000212,O000766,P00506,1,4300.89,0
I0000213,O000098,P00030,2,8245.25,0
I0000214,O000893,P00108,3,475.67,0
I0000215,O001101,P00196,3,4372.83,20
I0000216,O000089,P00054,3,4755.2,5
I0000217,O000675,P00077,3,3785.58,25
I0000218,O000349,P00389,3,2818.45,15
I0000219,O000259,P00472,1,3626.81,0
I0000220,O001369,P00424,4,6250.68,15
I0000221,O000979,P00247,5,4977.78,5
I0000222,O000463,P00330,4,4203.74,25
I0000223,O000723,P00304,1,4899.18,25
I0000224,O000160,P00249,2,618.78,10
I0000225,O000027,P00062,2,7087.66,10
I0000226,O000999,P00395,2,843.07,0
I0000227,O000642,P00541,5,2591.57,5
I0000228,O001034,P00465,2,2910.14,0
I0000229,O000790,P00225,3,341.16,25
I0000230,O000820,P00526,2,5509.11,5
I0000231,O000630,P00434,2,6523.49,15
I0000232,O000945,P00105,2,5688.62,20
I0000233,O000034,P00113,2,7783.45,0
I0000234,O000976,P00274,1,4447.45,10
I0000235,O000243,P00361,3,2602.29,0
I0000236,O000435,P00363,4,1407.52,15
I0000237,O000684,P00442,5,728.58,5
I0000238,O000101,P00379,1,4088.18,20
I0000239,O000603,P00433,2,6554.04,0
I0000240,O001245,P00283,5,6466.48,10
I0000241,O001324,P00112,1,3864.6,0
I0000242,O000109,P00225,1,331.98,15
I0000243,O000135,P00273,2,4349.7,5
I0000244,O000829,P00232,5,4561.49,0
I0000245,O001015,P00226,3,4324.96,25
I0000246,O001305,P00209,3,5154.19,15
I0000247,O000194,P00295,1,6248.18,20
I0000248,O000489,P00489,3,889.15,20
I0000249,O000384,P00072,2,2382.91,10
I0000250,O001365,P00146,1,156.73,5
I0000251,O000541,P00022,2,6709.11,0
I0000252,O000722,P00010,5,2558.91,15
I0000253,O000507,P00002,4,2987.63,0
I0000254,O001393,P00018,5,4908.38,25
I0000255,O001031,P00234,5,2634.93,0
I0000256,O000624,P00097,1,4474.98,5
I0000257,O000719,P00464,4,4873.51,5
I0000258,O000747,P00499,3,3739.1,25
I0000259,O000684,P00362,3,7375.83,25
I0000260,O000553,P00496,1,7133.09,20
I0000261,O000841,P00022,2,6650.91,20
I0000262,O001020,P00146,3,128.63,15
I0000263,O000423,P00442,3,973.86,0
I0000264,O000561,P00387,1,4693.84,20
I0000265,O000359,P00461,5,837.46,20
I0000266,O000801,P00358,3,2018.15,5
I0000267,O000085,P00317,2,2168.65,20
I0000268,O000252,P00352,5,5048.81,10
I0000269,O000226,P00356,3,3224.06,10
I0000270,O001395,P00151,4,2693.26,5
I0000271,O000998,P00167,3,4979.48,25
I0000272,O000930,P00302,1,5089.48,5
I0000273,O001001,P00127,1,5491.43,10
I0000274,O000103,P00361,1,2001.72,5
I0000275,O001363,P00291,5,5120.8,15
I0000276,O000555,P00159,1,3720.55,20
I0000277,O001199,P00202,4,5805.12,5
I0000278,O000970,P00225,1,336.33,0
I0000279,O000818,P00396,4,6286.37,0
I0000280,O001223,P00268,3,3444.48,15
I0000281,O001185,P00447,3,379.9,25
I0000282,O000278,P00205,3,7012.2,0
I0000283,O000176,P00309,3,3193.89,20
I0000284,O000376,P00473,5,1938.82,25
I0000285,O000284,P00448,1,6813.63,20
I0000286,O000733,P00321,5,453.25,10
I0000287,O000841,P00478,4,5959.02,15
I0000288,O000182,P00028,4,5224.92,15
I0000289,O001189,P00310,2,2547.77,0
I0000290,O000805,P00301,1,1668.96,20
I0000291,O001061,P00007,4,3198.35,0
I0000292,O000554,P00087,1,3945.27,20
I0000293,O001218,P00110,3,3195.56,5
I0000294,O000125,P00494,3,2318.4,15
I0000295,O000420,P00524,1,7159.26,15
I0000296,O000458,P00508,2,4432.5,20
I0000297,O001287,P00159,3,4012.7,0
I0000298,O000412,P00497,5,3935.13,0
I0000299,O000248,P00157,5,5512.71,0
I0000300,O000971,P00210,1,3566.82,15
I0000301,O000114,P00455,4,2185.61,5
I0000302,O000377,P00415,4,3165.63,25
I0000303,O001396,P00267,5,5230.32,20
I0000304,O000300,P00127,4,6278.24,0
I0000305,O000350,P00146,2,159.07,20
I0000306,O000984,P00206,4,6638.35,20
I0000307,O001010,P00103,5,7033.77,5
I0000308,O000220,P00401,4,5449.36,25
I0000309,O000058,P00436,2,1124.53,0
I0000310,O001189,P00399,1,1245.51,20
I0000311,O000727,P00456,1,7584.46,10
I0000312,O000019,P00470,3,1448.69,5
I0000313,O000432,P00513,5,3783.7,20
I0000314,O001051,P00538,4,5339.87,20
I0000315,O001344,P00156,3,3243.42,5
I0000316,O000571,P00471,2,8095.1,20
I0000317,O000140,P00311,4,7619.98,20
I0000318,O000967,P00496,4,6920.78,0
I0000319,O000531,P00520,5,1209.18,5
I0000320,O001265,P00357,5,2763.15,0
I0000321,O000326,P00047,1,1346.74,20
I0000322,O001392,P00109,4,5256.93,25
I0000323,O000216,P00238,2,1900.75,0
I0000324,O000132,P00394,4,433.92,5
I0000325,O000150,P00118,1,4860.45,5
I0000326,O000658,P00031,2,4990.3,10
I0000327,O001306,P00387,2,4198.93,0
I0000328,O001006,P00201,3,903.98,5
I0000329,O000332,P00231,2,1782.8,15
I0000330,O001193,P00197,1,3290.31,20
I0000331,O000069,P00099,2,2228.73,0
I0000332,O001164,P00369,4,656.07,0
I0000333,O001398,P00349,2,3677.75,20
I0000334,O000390,P00541,4,2659.08,15
I0000335,O000722,P00486,5,1488.73,15
I0000336,O000899,P00142,1,704.41,10
I0000337,O000161,P00073,5,3680.08,15
I0000338,O000242,P00306,1,4793.7,0
I0000339,O000459,P00339,1,6940.77,5
I0000340,O000733,P00258,4,3486.78,25
I0000341,O000154,P00162,3,2129.77,0
I0000342,O001025,P00531,5,3373.62,15
I0000343,O000228,P00059,5,3026.28,5
I0000344,O000693,P00031,1,5733.15,0
I0000345,O000286,P00343,1,777.32,25
I0000346,O000483,P00338,1,188.05,25
I0000347,O000145,P00037,3,7158.4,15
I0000348,O000981,P00083,5,6789.94,5
I0000349,O000073,P00043,1,801.29,0
I0000350,O000979,P00359,4,1798.02,25
I0000351,O000114,P00234,1,2463.56,25
I0000352,O001246,P00201,5,1060.77,20
I0000353,O000988,P00019,5,947.44,25
I0000354,O000881,P00387,2,4407.03,15
I0000355,O000897,P00142,1,614.59,15
I0000356,O000397,P00377,3,387.95,0
I0000357,O000189,P00244,2,4686.07,0
I0000358,O001164,P00423,5,1181.28,25
I0000359,O000117,P00016,2,1599.93,0
I0000360,O000579,P00450,2,2864.0,5
I0000361,O000266,P00251,3,2474.47,10
I0000362,O000157,P00126,1,2311.55,15
I0000363,O000732,P00211,4,2029.76,25
I0000364,O000620,P00226,4,5767.57,25
I0000365,O001079,P00300,2,6129.1,5
I0000366,O000111,P00516,1,1958.94,10
I0000367,O000161,P00498,3,1704.57,0
I0000368,O000625,P00534,2,5934.58,0
I0000369,O000291,P00126,3,2091.38,0
I0000370,O000234,P00451,4,3562.39,25
I0000371,O000570,P00035,3,3742.14,5
I0000372,O000572,P00087,1,3979.68,10
I0000373,O000784,P00508,1,3651.07,0
I0000374,O000777,P00230,2,2854.27,10
I0000375,O001353,P00546,1,4830.19,15
I0000376,O001247,P00357,1,2689.52,5
I0000377,O000444,P00269,5,4734.36,5
I0000378,O000117,P00445,4,8194.77,15
I0000379,O001096,P00398,3,3921.68,15
I0000380,O000333,P00532,3,8163.43,10
I0000381,O000032,P00244,2,4128.66,20
I0000382,O000512,P00281,1,2568.58,5
I0000383,O000809,P00346,5,3958.83,5
I0000384,O001351,P00371,3,984.86,20
I0000385,O000629,P00013,1,1948.03,5
I0000386,O000909,P00271,2,1752.81,10
I0000387,O000076,P00010,4,2555.76,10
I0000388,O000120,P00224,4,464.08,0
I0000389,O001130,P00284,5,3110.36,0
I0000390,O000529,P00452,2,1222.93,5
I0000391,O000261,P00266,4,4609.03,0
I0000392,O001344,P00151,5,2567.2,0
I0000393,O001038,P00040,2,3417.27,15
I0000394,O001134,P00325,1,1753.36,0
I0000395,O000034,P00266,3,5542.19,25
I0000396,O000092,P00362,5,6634.02,5
I0000397,O001039,P00112,1,4199.46,15
I0000398,O000418,P00080,2,6910.93,5
I0000399,O001315,P00426,1,6319.82,5
I0000400,O000669,P00147,1,3547.72,5
I0000401,O001336,P00344,4,6289.87,5
I0000402,O000755,P00032,2,4300.85,0
I0000403,O001248,P00027,1,6298.36,5
I0000404,O001191,P00524,5,7718.56,0
I0000405,O000067,P00388,5,4727.34,0
I0000406,O000159,P00391,1,647.76,0
I0000407,O001291,P00516,5,2127.23,10
I0000408,O000106,P00125,5,5335.71,20
I0000409,O000904,P00538,5,5997.85,0
I0000410,O000674,P00301,2,1760.92,25
I0000411,O000934,P00371,2,1013.0,0
I0000412,O000840,P00247,4,4417.79,5
I0000413,O000742,P00518,1,4636.55,15
I0000414,O000858,P00236,4,4005.07,25
I0000415,O000502,P00129,5,573.38,10
I0000416,O000534,P00142,5,811.3,5
I0000417,O000167,P00322,1,231.36,15
I0000418,O001013,P00152,5,822.83,25
I0000419,O000930,P00203,2,1086.43,0
I0000420,O001136,P00429,3,1736.31,10
I0000421,O000070,P00104,2,2645.49,0
I0000422,O000272,P00171,1,2587.09,15
I0000423,O000726,P00398,4,3386.72,20
I0000424,O000244,P00248,3,6449.48,25
I0000425,O001247,P00345,5,3081.85,20
I0000426,O000727,P00047,1,1780.15,10
I0000427,O000593,P00461,4,1019.48,20
I0000428,O001208,P00138,2,3857.78,15
I0000429,O000016,P00086,2,194.49,5
I0000430,O000657,P00465,4,3370.27,15
I0000431,O000476,P00287,1,4783.82,5
I0000432,O001061,P00050,5,7575.53,15
I0000433,O000585,P00521,4,2292.02,5
I0000434,O000086,P00183,2,3167.22,20
I0000435,O001064,P00216,4,2906.96,15
I0000436,O000712,P00322,1,219.48,0
I0000437,O000997,P00295,3,6974.02,0
I0000438,O001242,P00296,3,8142.45,0
I0000439,O000197,P00286,2,1473.2,25
I0000440,O000057,P00521,2,2563.96,0
I0000441,O001001,P00200,1,5101.21,0
I0000442,O000578,P00379,2,4540.71,15
I0000443,O001067,P00437,4,252.13,10
I0000444,O000246,P00303,1,3649.21,10
I0000445,O000178,P00506,3,4193.72,5
I0000446,O000162,P00120,3,258.58,0
I0000447,O000321,P00077,3,3530.86,5
I0000448,O001377,P00465,5,3838.04,20
I0000449,O000888,P00323,1,2837.02,20
I0000450,O000390,P00534,3,6149.99,20
I0000451,O000504,P00037,1,5185.45,10
I0000452,O000544,P00226,2,4843.42,10
I0000453,O000579,P00192,4,4087.94,20
I0000454,O000439,P00091,5,3358.27,0
I0000455,O001252,P00503,5,1730.37,0
I0000456,O000539,P00040,4,3121.97,20
I0000457,O000992,P00241,3,1593.6,0
I0000458,O000599,P00308,2,5599.45,10
I0000459,O000732,P00402,5,5914.11,5
I0000460,O000231,P00099,2,2350.01,25
I0000461,O000916,P00295,4,6649.41,20
I0000462,O000361,P00436,1,1213.82,5
I0000463,O000816,P00117,3,7310.49,25
I0000464,O001231,P00496,4,6405.97,0
I0000465,O000549,P00030,3,7317.35,25
I0000466,O001152,P00419,1,3539.0,5
I0000467,O000802,P00326,4,7449.84,10
I0000468,O000112,P00409,3,1226.33,20
I0000469,O001304,P00225,3,323.21,5
I0000470,O000454,P00459,4,1897.54,0
I0000471,O001281,P00549,2,2458.5,15
I0000472,O001239,P00338,2,191.53,20
I0000473,O000185,P00022,4,6474.33,5
I0000474,O000130,P00362,5,6772.67,15
I0000475,O001097,P00216,3,2805.12,0
I0000476,O000470,P00549,4,2668.05,0
I0000477,O000847,P00383,3,4135.6,20
I0000478,O000074,P00255,1,3359.69,25
I0000479,O001028,P00540,1,4263.34,10
I0000480,O000580,P00044,2,460.61,0
I0000481,O000558,P00254,1,4973.64,25
I0000482,O000269,P00387,4,4597.84,5
I0000483,O000152,P00087,1,3491.64,20
I0000484,O000031,P00426,1,7143.31,15
I0000485,O001205,P00156,1,3330.99,0
I0000486,O000871,P00320,3,5967.02,0
I0000487,O000940,P00310,3,2233.85,5
I0000488,O000597,P00483,4,4293.03,0
I0000489,O000571,P00417,5,4172.16,20
I0000490,O000501,P00547,5,5649.17,10
I0000491,O001120,P00404,3,2309.79,10
I0000492,O000051,P00230,5,3132.48,0
I0000493,O000977,P00458,3,2529.59,20
I0000494,O000295,P00319,3,1218.03,0
I0000495,O000347,P00098,5,1356.81,10
I0000496,O000290,P00256,1,3567.91,25
I0000497,O001161,P00485,5,310.17,0
I0000498,O000844,P00506,3,3384.04,5
I0000499,O000659,P00155,1,227.04,15
I0000500,O000550,P00417,1,4520.01,25
I0000501,O001024,P00501,5,2021.34,20
I0000502,O000945,P00242,3,2227.96,15
I0000503,O000872,P00084,1,1225.13,10
I0000504,O000332,P00131,1,2654.58,0
I0000505,O000897,P00171,2,2952.13,0
I0000506,O001015,P00040,4,2593.17,25
I0000507,O000287,P00538,4,7116.3,15
I0000508,O000019,P00429,4,1470.79,10
I0000509,O001071,P00302,3,5791.28,5
I0000510,O000595,P00170,2,2390.41,0
I0000511,O001239,P00381,5,4772.06,10
I0000512,O000278,P00216,3,2761.48,20
I0000513,O000651,P00486,1,1526.52,0
I0000514,O000012,P00482,1,2651.34,0
I0000515,O001102,P00205,1,7134.9,0
I0000516,O000960,P00063,5,879.75,0
I0000517,O000463,P00359,5,1830.45,0
I0000518,O000583,P00198,3,4662.25,25
I0000519,O000627,P00437,5,280.72,25
I0000520,O001150,P00413,3,141.24,20
I0000521,O001214,P00208,1,1747.32,20
I0000522,O000366,P00222,3,4931.68,0
I0000523,O001203,P00130,5,1939.43,10
I0000524,O001213,P00339,5,6408.03,25
I0000525,O000345,P00485,2,225.01,0
I0000526,O001260,P00222,1,4677.91,0
I0000527,O000663,P00487,1,5063.67,0
I0000528,O000901,P00141,5,5830.33,10
I0000529,O001025,P00335,3,1871.33,0
I0000530,O000790,P00403,4,2806.24,5
I0000531,O000650,P00320,5,6010.56,15
I0000532,O001298,P00220,2,4495.03,20
I0000533,O001148,P00147,4,3322.74,20
I0000534,O001143,P00257,1,6075.04,20
I0000535,O000052,P00357,2,2798.54,25
I0000536,O000869,P00478,3,5359.79,15
I0000537,O000767,P00196,4,3187.23,20
I0000538,O000906,P00011,2,337.87,0
I0000539,O000636,P00006,5,4741.13,5
I0000540,O000027,P00260,5,2545.87,0
I0000541,O000816,P00282,4,2811.63,20
I0000542,O001281,P00260,3,2009.17,15
I0000543,O001245,P00032,4,5536.93,10
I0000544,O001327,P00178,4,7964.12,25
I0000545,O000757,P00107,1,2356.3,20
I0000546,O000270,P00157,2,4556.67,25
I0000547,O000909,P00123,1,1391.42,0
I0000548,O001115,P00322,1,218.77,25
I0000549,O000035,P00199,5,4943.44,20
I0000550,O001202,P00325,2,1756.45,5
I0000551,O001361,P00529,1,513.82,25
I0000552,O000396,P00063,1,957.95,15
I0000553,O000172,P00152,3,679.05,0
I0000554,O000407,P00283,5,6972.41,10
I0000555,O000638,P00178,1,6583.51,5
I0000556,O000955,P00121,3,4573.74,20
I0000557,O000949,P00089,5,5726.67,0
I0000558,O000381,P00187,1,6562.38,20
I0000559,O000022,P00021,2,2194.03,5
I0000560,O000506,P00472,1,3608.75,20
I0000561,O000636,P00196,2,3003.41,20
I0000562,O000572,P00294,2,1930.9,5
I0000563,O000386,P00424,2,6693.7,0
I0000564,O000532,P00182,3,6631.38,5
I0000565,O000728,P00095,4,6260.58,5
I0000566,O001293,P00536,4,4782.05,0
I0000567,O000790,P00038,5,3682.3,15
I0000568,O000711,P00216,4,3376.2,20
I0000569,O000701,P00296,2,7983.31,15
I0000570,O001052,P00276,1,6479.06,5
I0000571,O000535,P00224,4,365.47,0
I0000572,O000974,P00530,2,1484.87,15
I0000573,O001155,P00331,3,477.66,15
I0000574,O000215,P00035,3,3801.76,25
I0000575,O000864,P00009,2,3484.92,5
I0000576,O000734,P00103,2,6852.34,10
I0000577,O000900,P00191,1,5715.73,10
I0000578,O000970,P00446,4,6089.9,5
I0000579,O000692,P00383,5,4633.87,10
I0000580,O000480,P00308,1,5799.25,15
I0000581,O000873,P00111,4,5414.33,15
I0000582,O000059,P00411,5,5816.64,0
I0000583,O001074,P00308,5,4614.05,15
I0000584,O001359,P00143,2,2729.22,0
I0000585,O000290,P00093,3,4565.02,10
I0000586,O000944,P00406,2,3802.55,0
I0000587,O000618,P00206,2,6689.05,0
I0000588,O000895,P00242,2,1719.1,0
I0000589,O000767,P00158,5,5453.79,0
I0000590,O000965,P00353,1,774.91,10
I0000591,O001369,P00218,4,2557.53,10
I0000592,O000794,P00249,1,634.69,25
I0000593,O000670,P00137,4,4870.33,25
I0000594,O000807,P00435,5,5810.58,5
I0000595,O000056,P00501,5,1941.54,15
I0000596,O000756,P00183,2,2658.81,15
I0000597,O001228,P00002,5,3324.89,0
I0000598,O001024,P00236,2,3930.0,0
I0000599,O000191,P00310,4,2372.71,20
I0000600,O000309,P00185,4,1323.32,10
I0000601,O000535,P00493,1,6108.87,10
I0000602,O000816,P00184,2,1710.83,25
I0000603,O000170,P00109,4,4980.7,20
I0000604,O000026,P00104,4,2017.25,0
I0000605,O000932,P00520,4,1142.27,20
I0000606,O000112,P00412,4,1663.31,5
I0000607,O000923,P00119,5,6980.05,25
I0000608,O001096,P00485,3,333.9,0
I0000609,O001089,P00184,4,1760.11,25
I0000610,O000015,P00082,2,6633.2,20
I0000611,O001055,P00265,2,5557.77,20
I0000612,O000100,P00466,4,2046.5,0
I0000613,O000943,P00125,4,4844.53,15
I0000614,O000872,P00379,3,3607.9,5
I0000615,O000548,P00025,5,1526.24,5
I0000616,O000915,P00428,1,3245.92,20
I0000617,O000229,P00037,5,5720.21,0
I0000618,O000510,P00545,4,4645.44,15
I0000619,O000297,P00097,2,4202.11,10
I0000620,O000939,P00282,3,3699.0,0
I0000621,O000939,P00537,5,4762.71,5
I0000622,O000301,P00382,1,5059.18,20
I0000623,O001050,P00104,4,2782.16,0
I0000624,O000866,P00346,3,4662.07,0
I0000625,O000888,P00264,1,8578.87,25
I0000626,O000535,P00197,5,4868.1,15
I0000627,O000500,P00527,5,4441.08,0
I0000628,O000969,P00384,5,653.0,10
I0000629,O000567,P00282,2,3441.17,0
I0000630,O001389,P00409,2,1235.31,0
I0000631,O000039,P00417,2,4674.0,20
I0000632,O000547,P00133,3,7161.4,25
