product_id,product_name,category,subcategory,cost_price
P00044,Swift Decor,Home,Decor,333.56
P00045,Classic Fiction,Books,Fiction,3394.47
P00046,Zen Business,Books,Business,274.57
P00047,Urban Science,Books,Science,1005.76
P00048,Zen Biography,Books,Biography,3643.58
P00049,Fusion Smartphone,Electronics,Smartphone,1147.72
P00050,Swift Laptop,Electronics,Laptop,4357.81
P00051,Elite Headphones,Electronics,Headphones,1571.69
P00052,Nova Smartwatch,Electronics,Smartwatch,1122.09
P00053,Swift T-Shirt,Clothing,T-Shirt,4813.42
P00054,Urban Jeans,Clothing,Jeans,3754.65
P00055,Eco Jacket,Clothing,Jacket,4579.05
P00056,Zen Sneakers,Clothing,Sneakers,3542.54
P00057,Classic Cookware,Home,Cookware,4582.42
P00058,Fusion Lighting,Home,Lighting,1662.35
P00059,Aura Furniture,Home,Furniture,1952.86
P00060,Fusion Decor,Home,Decor,3271.71
P00061,Aura Fiction,Books,Fiction,1366.88
P00062,Fusion Business,Books,Business,4423.43
P00063,Eco Science,Books,Science,565.15
P00064,Eco Biography,Books,Biography,3827.21
P00065,Elite Smartphone,Electronics,Smartphone,4578.51
P00066,Elite Laptop,Electronics,Laptop,1619.58
P00067,Nova Headphones,Electronics,Headphones,2847.62
P00068,Swift Smartwatch,Electronics,Smartwatch,3726.96
P00069,Nova T-Shirt,Clothing,T-Shirt,1363.01
P00070,Zen Jeans,Clothing,Jeans,2929.38
P00071,Classic Jacket,Clothing,Jacket,1532.35
P00072,Swift Sneakers,Clothing,Sneakers,1702.94
P00073,Classic Cookware,Home,Cookware,2883.36
P00074,Swift Lighting,Home,Lighting,2536.56
P00075,Elite Furniture,Home,Furniture,1346.05
P00076,Eco Decor,Home,Decor,4835.22
P00077,Eco Fiction,Books,Fiction,2347.28
P00078,Elite Business,Books,Business,912.79
P00079,Fusion Science,Books,Science,2482.52
P00080,Fusion Biography,Books,Biography,4952.39
P00081,Nova Smartphone,Electronics,Smartphone,2657.81
P00082,Urban Laptop,Electronics,Laptop,4730.33
P00083,Nova Headphones,Electronics,Headphones,3840.55
P00084,Classic Smartwatch,Electronics,Smartwatch,756.46
P00085,Swift T-Shirt,Clothing,T-Shirt,414.4
P00086,Prime Jeans,Clothing,Jeans,124.98
P00087,Fusion Jacket,Clothing,Jacket,2323.57
P00088,Nova Sneakers,Clothing,Sneakers,3119.75
P00089,Zen Cookware,Home,Cookware,4570.74
P00090,Eco Lighting,Home,Lighting,157.4
P00091,Fusion Furniture,Home,Furniture,2794.09
P00092,Nova Decor,Home,Decor,162.29
P00093,Aura Fiction,Books,Fiction,2715.83
P00094,Aura Business,Books,Business,164.34
P00095,Classic Science,Books,Science,4046.35
P00096,Prime Biography,Books,Biography,606.52
P00097,Urban Smartphone,Electronics,Smartphone,2659.98
P00098,Swift Laptop,Electronics,Laptop,1024.31
P00099,Fusion Headphones,Electronics,Headphones,1321.9
P00100,Elite Smartwatch,Electronics,Smartwatch,1395.24
P00101,Classic T-Shirt,Clothing,T-Shirt,468.77
P00102,Classic Jeans,Clothing,Jeans,2338.27
P00103,Swift Jacket,Clothing,Jacket,4951.95
P00104,Swift Sneakers,Clothing,Sneakers,1555.88
P00105,Urban Cookware,Home,Cookware,3296.38
P00106,Nova Lighting,Home,Lighting,540.02
P00107,Classic Furniture,Home,Furniture,1935.67
P00108,Eco Decor,Home,Decor,356.09
P00109,Nova Fiction,Books,Fiction,3538.0
P00110,Urban Business,Books,Business,2539.3
P00111,Classic Science,Books,Science,3252.94
P00112,Elite Biography,Books,Biography,2864.01
P00113,Urban Smartphone,Electronics,Smartphone,4482.37
P00114,Nova Laptop,Electronics,Laptop,1210.45
P00115,Zen Headphones,Electronics,Headphones,2419.46
P00116,Nova Smartwatch,Electronics,Smartwatch,4626.86
P00117,Aura T-Shirt,Clothing,T-Shirt,4504.61
P00118,Zen Jeans,Clothing,Jeans,3317.9
P00119,Prime Jacket,Clothing,Jacket,4649.53
P00120,Elite Sneakers,Clothing,Sneakers,157.04
P00121,Swift Cookware,Home,Cookware,2968.22
P00122,Classic Lighting,Home,Lighting,4650.06
P00123,Aura Furniture,Home,Furniture,879.26
P00124,Swift Decor,Home,Decor,2868.14
P00125,Classic Fiction,Books,Fiction,3411.01
P00126,Fusion Business,Books,Business,1712.11
P00127,Prime Science,Books,Science,3969.25
P00128,Urban Biography,Books,Biography,2543.9
P00129,Elite Smartphone,Electronics,Smartphone,344.19
P00130,Classic Laptop,Electronics,Laptop,1222.15
P00131,Urban Headphones,Electronics,Headphones,1755.72
P00132,Zen Smartwatch,Electronics,Smartwatch,4777.9
P00133,Classic T-Shirt,Clothing,T-Shirt,4847.09
P00134,Elite Jeans,Clothing,Jeans,225.76
P00135,Aura Jacket,Clothing,Jacket,3935.06
P00136,Eco Sneakers,Clothing,Sneakers,2493.77
P00137,Elite Cookware,Home,Cookware,2800.95
P00138,Classic Lighting,Home,Lighting,2204.69
P00139,Zen Furniture,Home,Furniture,3330.51
P00140,Urban Decor,Home,Decor,3879.06
P00141,Aura Fiction,Books,Fiction,4006.43
P00142,Urban Business,Books,Business,483.63
P00143,Prime Science,Books,Science,1949.6
P00144,Prime Biography,Books,Biography,3719.1
P00145,Elite Smartphone,Electronics,Smartphone,1854.65
P00146,Urban Laptop,Electronics,Laptop,105.56
P00147,Aura Headphones,Electronics,Headphones,2268.1
P00148,Aura Smartwatch,Electronics,Smartwatch,582.98
P00149,Urban T-Shirt,Clothing,T-Shirt,1001.97
P00150,Eco Jeans,Clothing,Jeans,2820.37
P00151,Fusion Jacket,Clothing,Jacket,2087.58
P00152,Nova Sneakers,Clothing,Sneakers,520.92
P00153,Fusion Cookware,Home,Cookware,537.88
P00154,Zen Lighting,Home,Lighting,3939.44
P00155,Classic Furniture,Home,Furniture,140.72
P00156,Classic Decor,Home,Decor,1987.97
P00157,Urban Fiction,Books,Fiction,3646.23
P00158,Fusion Business,Books,Business,4533.62
P00159,Swift Science,Books,Science,2894.05
P00160,Prime Biography,Books,Biography,3451.75
P00161,Prime Smartphone,Electronics,Smartphone,763.09
P00162,Aura Laptop,Electronics,Laptop,1400.56
P00163,Prime Headphones,Electronics,Headphones,391.27
P00164,Classic Smartwatch,Electronics,Smartwatch,1437.73
P00165,Aura T-Shirt,Clothing,T-Shirt,2462.42
P00166,Urban Jeans,Clothing,Jeans,1856.73
P00167,Swift Jacket,Clothing,Jacket,3626.83
P00168,Eco Sneakers,Clothing,Sneakers,3001.53
P00169,Swift Cookware,Home,Cookware,2332.68
P00170,Prime Lighting,Home,Lighting,1578.92
P00171,Classic Furniture,Home,Furniture,1714.51
P00172,Zen Decor,Home,Decor,1949.06
P00173,Elite Fiction,Books,Fiction,2245.9
P00174,Classic Business,Books,Business,4092.14
P00175,Zen Science,Books,Science,749.73
P00176,Elite Biography,Books,Biography,3047.8
P00177,Swift Smartphone,Electronics,Smartphone,2436.73
P00178,Prime Laptop,Electronics,Laptop,4825.71
P00179,Elite Headphones,Electronics,Headphones,1513.92
P00180,Eco Smartwatch,Electronics,Smartwatch,4841.39
P00181,Swift T-Shirt,Clothing,T-Shirt,1683.36
P00182,Aura Jeans,Clothing,Jeans,4097.15
P00183,Classic Jacket,Clothing,Jacket,1875.88
P00184,Zen Sneakers,Clothing,Sneakers,1063.02
P00185,Fusion Cookware,Home,Cookware,965.24
P00186,Fusion Lighting,Home,Lighting,212.43
P00187,Eco Furniture,Home,Furniture,4719.44
P00188,Swift Decor,Home,Decor,2237.2
P00189,Aura Fiction,Books,Fiction,4169.91
P00190,Urban Business,Books,Business,4109.31
P00191,Classic Science,Books,Science,3391.05
P00192,Prime Biography,Books,Biography,3196.01
P00193,Swift Smartphone,Electronics,Smartphone,1323.19
P00194,Prime Laptop,Electronics,Laptop,3598.96
P00195,Classic Headphones,Electronics,Headphones,443.91
P00196,Zen Smartwatch,Electronics,Smartwatch,2437.83
P00197,Classic T-Shirt,Clothing,T-Shirt,2709.09
P00198,Classic Jeans,Clothing,Jeans,2754.73
P00199,Elite Jacket,Clothing,Jacket,3532.04
P00200,Fusion Sneakers,Clothing,Sneakers,3001.59
P00201,Urban Cookware,Home,Cookware,618.1
P00202,Swift Lighting,Home,Lighting,3315.4
P00203,Elite Furniture,Home,Furniture,898.39
P00204,Zen Decor,Home,Decor,297.94
P00205,Classic Fiction,Books,Fiction,4836.71
P00206,Elite Business,Books,Business,4831.33
P00207,Classic Science,Books,Science,601.25
P00208,Urban Biography,Books,Biography,1352.99
P00209,Fusion Smartphone,Electronics,Smartphone,3754.52
P00210,Fusion Laptop,Electronics,Laptop,2936.15
P00211,Zen Headphones,Electronics,Headphones,1167.48
P00212,Elite Smartwatch,Electronics,Smartwatch,2004.38
P00213,Zen T-Shirt,Clothing,T-Shirt,3476.95
P00214,Prime Jeans,Clothing,Jeans,1777.24
P00215,Nova Jacket,Clothing,Jacket,2455.23
P00216,Aura Sneakers,Clothing,Sneakers,2126.6
P00217,Urban Cookware,Home,Cookware,651.06
P00218,Prime Lighting,Home,Lighting,1793.78
P00219,Elite Furniture,Home,Furniture,2320.24
P00220,Swift Decor,Home,Decor,2643.88
P00221,Elite Fiction,Books,Fiction,2422.72
P00222,Eco Business,Books,Business,3632.21
P00223,Eco Science,Books,Science,1649.03
P00224,Aura Biography,Books,Biography,299.84
P00225,Urban Smartphone,Electronics,Smartphone,191.12
P00226,Elite Laptop,Electronics,Laptop,3268.01
P00227,Prime Headphones,Electronics,Headphones,4655.22
P00228,Swift Smartwatch,Electronics,Smartwatch,2618.69
P00229,Fusion T-Shirt,Clothing,T-Shirt,867.87
P00230,Fusion Jeans,Clothing,Jeans,2177.74
P00231,Eco Jacket,Clothing,Jacket,1220.73
P00232,Classic Sneakers,Clothing,Sneakers,3178.42
P00233,Prime Cookware,Home,Cookware,3231.16
P00234,Classic Lighting,Home,Lighting,2026.27
P00235,Zen Furniture,Home,Furniture,4424.84
P00236,Eco Decor,Home,Decor,2993.64
P00237,Classic Fiction,Books,Fiction,101.89
P00238,Swift Business,Books,Business,1092.46
P00239,Urban Science,Books,Science,2920.55
P00240,Fusion Biography,Books,Biography,999.84
P00241,Elite Smartphone,Electronics,Smartphone,1049.61
P00242,Urban Laptop,Electronics,Laptop,1370.78
P00243,Eco Headphones,Electronics,Headphones,2676.36
P00244,Elite Smartwatch,Electronics,Smartwatch,3017.1
P00245,Zen T-Shirt,Clothing,T-Shirt,2011.32
P00246,Urban Jeans,Clothing,Jeans,1791.79
P00247,Eco Jacket,Clothing,Jacket,3117.42
P00248,Aura Sneakers,Clothing,Sneakers,4599.92
P00249,Zen Cookware,Home,Cookware,496.98
P00250,Prime Lighting,Home,Lighting,1620.87
P00251,Swift Furniture,Home,Furniture,1582.47
P00252,Prime Decor,Home,Decor,1916.67
P00253,Prime Fiction,Books,Fiction,2593.26
P00254,Classic Business,Books,Business,3014.42
P00255,Zen Science,Books,Science,1967.85
P00256,Prime Biography,Books,Biography,2474.42
P00257,Fusion Smartphone,Electronics,Smartphone,3491.69
P00258,Prime Laptop,Electronics,Laptop,2810.17
P00259,Eco Headphones,Electronics,Headphones,1501.07
P00260,Prime Smartwatch,Electronics,Smartwatch,1627.73
P00261,Eco T-Shirt,Clothing,T-Shirt,3127.5
P00262,Elite Jeans,Clothing,Jeans,4763.06
P00263,Eco Jacket,Clothing,Jacket,751.75
P00264,Classic Sneakers,Clothing,Sneakers,4822.04
P00265,Fusion Cookware,Home,Cookware,3293.1
P00266,Classic Lighting,Home,Lighting,3448.71
P00267,Classic Furniture,Home,Furniture,3573.9
P00268,Eco Decor,Home,Decor,2484.4
P00269,Urban Fiction,Books,Fiction,2861.76
P00270,Swift Business,Books,Business,1517.08
P00271,Aura Science,Books,Science,1186.23
P00272,Aura Biography,Books,Biography,907.59
P00273,Eco Smartphone,Electronics,Smartphone,2863.0
P00274,Eco Laptop,Electronics,Laptop,2784.65
P00275,Urban Headphones,Electronics,Headphones,2897.75
P00276,Aura Smartwatch,Electronics,Smartwatch,3893.56
P00277,Elite T-Shirt,Clothing,T-Shirt,2746.85
P00278,Nova Jeans,Clothing,Jeans,3819.22
P00279,Eco Jacket,Clothing,Jacket,2768.06
P00280,Classic Sneakers,Clothing,Sneakers,583.89
P00281,Swift Cookware,Home,Cookware,1544.73
P00282,Nova Lighting,Home,Lighting,2292.68
P00283,Elite Furniture,Home,Furniture,4322.02
P00284,Urban Decor,Home,Decor,2240.22
P00285,Urban Fiction,Books,Fiction,3896.11
P00286,Swift Business,Books,Business,1112.6
P00287,Zen Science,Books,Science,3470.54
P00288,Zen Biography,Books,Biography,3193.23
P00289,Prime Smartphone,Electronics,Smartphone,3111.46
P00290,Swift Laptop,Electronics,Laptop,4082.57
P00291,Nova Headphones,Electronics,Headphones,2884.77
P00292,Fusion Smartwatch,Electronics,Smartwatch,1462.94
P00293,Fusion T-Shirt,Clothing,T-Shirt,908.42
P00294,Aura Jeans,Clothing,Jeans,1503.52
P00295,Aura Jacket,Clothing,Jacket,4765.79
P00296,Fusion Sneakers,Clothing,Sneakers,4928.6
P00297,Urban Cookware,Home,Cookware,747.1
P00298,Classic Lighting,Home,Lighting,4600.34
P00299,Aura Furniture,Home,Furniture,4345.87
P00300,Prime Decor,Home,Decor,3531.02
P00301,Prime Fiction,Books,Fiction,1308.41
P00302,Elite Business,Books,Business,4156.13
P00303,Classic Science,Books,Science,2488.14
P00304,Zen Biography,Books,Biography,3191.42
P00305,Classic Smartphone,Electronics,Smartphone,1925.85
P00306,Urban Laptop,Electronics,Laptop,3197.45
P00307,Urban Headphones,Electronics,Headphones,2062.03
P00308,Aura Smartwatch,Electronics,Smartwatch,3497.94
P00309,Elite T-Shirt,Clothing,T-Shirt,2317.1
P00310,Eco Jeans,Clothing,Jeans,1690.26
P00311,Nova Jacket,Clothing,Jacket,4355.03
P00312,Urban Sneakers,Clothing,Sneakers,3676.19
P00313,Eco Cookware,Home,Cookware,3203.42
P00314,Elite Lighting,Home,Lighting,4262.52
P00315,Fusion Furniture,Home,Furniture,2036.76
P00316,Classic Decor,Home,Decor,4138.25
P00317,Eco Fiction,Books,Fiction,1401.2
P00318,Aura Business,Books,Business,1741.76
P00319,Zen Science,Books,Science,722.52
P00320,Eco Biography,Books,Biography,3958.45
P00321,Nova Smartphone,Electronics,Smartphone,306.04
P00322,Eco Laptop,Electronics,Laptop,160.1
P00323,Prime Headphones,Electronics,Headphones,2251.13
P00324,Nova Smartwatch,Electronics,Smartwatch,4959.84
P00325,Classic T-Shirt,Clothing,T-Shirt,1075.41
P00326,Prime Jeans,Clothing,Jeans,4420.17
P00327,Aura Jacket,Clothing,Jacket,862.17
P00328,Aura Sneakers,Clothing,Sneakers,539.23
P00329,Elite Cookware,Home,Cookware,1311.92
P00330,Elite Lighting,Home,Lighting,3349.38
P00331,Prime Furniture,Home,Furniture,334.79
P00332,Aura Decor,Home,Decor,3651.86
P00333,Swift Fiction,Books,Fiction,2191.82
P00334,Urban Business,Books,Business,3542.19
P00335,Nova Science,Books,Science,1130.03
P00336,Urban Biography,Books,Biography,732.88
P00337,Swift Smartphone,Electronics,Smartphone,2635.67
P00338,Eco Laptop,Electronics,Laptop,125.69
P00339,Elite Headphones,Electronics,Headphones,4100.18
P00340,Classic Smartwatch,Electronics,Smartwatch,3494.63
P00341,Eco T-Shirt,Clothing,T-Shirt,428.48
P00342,Classic Jeans,Clothing,Jeans,519.51
P00343,Urban Jacket,Clothing,Jacket,587.75
P00344,Elite Sneakers,Clothing,Sneakers,4414.47
P00345,Prime Cookware,Home,Cookware,1962.99
P00346,Prime Lighting,Home,Lighting,3236.55
P00347,Prime Furniture,Home,Furniture,416.59
P00348,Zen Decor,Home,Decor,121.7
P00349,Prime Fiction,Books,Fiction,2245.29
P00350,Swift Business,Books,Business,3170.15
P00351,Prime Science,Books,Science,4605.88
P00352,Zen Biography,Books,Biography,3457.91
P00353,Swift Smartphone,Electronics,Smartphone,506.51
P00354,Urban Laptop,Electronics,Laptop,768.86
P00355,Urban Headphones,Electronics,Headphones,2980.7
P00356,Classic Smartwatch,Electronics,Smartwatch,1809.56
P00357,Classic T-Shirt,Clothing,T-Shirt,1627.36
P00358,Prime Jeans,Clothing,Jeans,1299.11
P00359,Urban Jacket,Clothing,Jacket,1300.98
P00360,Zen Sneakers,Clothing,Sneakers,3032.04
P00361,Zen Cookware,Home,Cookware,1481.81
P00362,Nova Lighting,Home,Lighting,4251.63
P00363,Aura Furniture,Home,Furniture,1090.79
P00364,Zen Decor,Home,Decor,2586.85
P00365,Classic Fiction,Books,Fiction,1534.07
P00366,Nova Business,Books,Business,3936.3
P00367,Swift Science,Books,Science,2514.85
P00368,Urban Biography,Books,Biography,1266.12
P00369,Zen Smartphone,Electronics,Smartphone,429.38
P00370,Nova Laptop,Electronics,Laptop,4935.46
P00371,Elite Headphones,Electronics,Headphones,729.36
P00372,Zen Smartwatch,Electronics,Smartwatch,2150.65
P00373,Fusion T-Shirt,Clothing,T-Shirt,3440.07
P00374,Eco Jeans,Clothing,Jeans,4775.91
P00375,Urban Jacket,Clothing,Jacket,162.11
P00376,Urban Sneakers,Clothing,Sneakers,147.86
P00377,Swift Cookware,Home,Cookware,275.95
P00378,Nova Lighting,Home,Lighting,4747.51
P00379,Classic Furniture,Home,Furniture,2572.52
P00380,Fusion Decor,Home,Decor,3854.18
P00381,Classic Fiction,Books,Fiction,3532.91
P00382,Urban Business,Books,Business,3231.44
P00383,Fusion Science,Books,Science,3110.95
P00384,Aura Biography,Books,Biography,491.3
P00385,Urban Smartphone,Electronics,Smartphone,2595.62
P00386,Swift Laptop,Electronics,Laptop,4873.62
P00387,Prime Headphones,Electronics,Headphones,2719.04
P00388,Classic Smartwatch,Electronics,Smartwatch,2965.27
P00389,Urban T-Shirt,Clothing,T-Shirt,1606.03
P00390,Classic Jeans,Clothing,Jeans,3671.4
P00391,Swift Jacket,Clothing,Jacket,364.9
P00392,Urban Sneakers,Clothing,Sneakers,4629.17
P00393,Urban Cookware,Home,Cookware,2310.59
P00394,Zen Lighting,Home,Lighting,350.74
P00395,Prime Furniture,Home,Furniture,667.66
P00396,Prime Decor,Home,Decor,3531.38
P00397,Prime Fiction,Books,Fiction,2522.35
P00398,Elite Business,Books,Business,2653.19
P00399,Aura Science,Books,Science,901.46
P00400,Prime Biography,Books,Biography,3768.9
P00401,Aura Smartphone,Electronics,Smartphone,3686.04
P00402,Urban Laptop,Electronics,Laptop,3875.44
P00403,Nova Headphones,Electronics,Headphones,1728.25
P00404,Classic Smartwatch,Electronics,Smartwatch,1418.14
P00405,Urban T-Shirt,Clothing,T-Shirt,1373.71
P00406,Zen Jeans,Clothing,Jeans,3167.46
P00407,Eco Jacket,Clothing,Jacket,2319.57
P00408,Elite Sneakers,Clothing,Sneakers,352.76
P00409,Zen Cookware,Home,Cookware,901.06
P00410,Prime Lighting,Home,Lighting,1335.17
P00411,Urban Furniture,Home,Furniture,4479.8
P00412,Urban Decor,Home,Decor,1203.75
P00413,Fusion Fiction,Books,Fiction,92.64
P00414,Nova Business,Books,Business,1283.19
P00415,Eco Science,Books,Science,1870.76
P00416,Prime Biography,Books,Biography,960.49
P00417,Nova Smartphone,Electronics,Smartphone,2800.09
P00418,Classic Laptop,Electronics,Laptop,1184.62
P00419,Swift Headphones,Electronics,Headphones,2127.98
P00420,Elite Smartwatch,Electronics,Smartwatch,1414.59
P00421,Urban T-Shirt,Clothing,T-Shirt,2891.96
P00422,Urban Jeans,Clothing,Jeans,2550.04
P00423,Nova Jacket,Clothing,Jacket,962.37
P00424,Fusion Sneakers,Clothing,Sneakers,4908.56
P00425,Classic Cookware,Home,Cookware,419.12
P00426,Eco Lighting,Home,Lighting,4340.88
P00427,Aura Furniture,Home,Furniture,1690.32
P00428,Fusion Decor,Home,Decor,2327.19
P00429,Elite Fiction,Books,Fiction,1067.3
P00430,Zen Business,Books,Business,3939.78
P00431,Zen Science,Books,Science,1273.51
P00432,Elite Biography,Books,Biography,2991.12
P00433,Eco Smartphone,Electronics,Smartphone,4989.11
P00434,Swift Laptop,Electronics,Laptop,3683.72
P00435,Fusion Headphones,Electronics,Headphones,3821.57
P00436,Swift Smartwatch,Electronics,Smartwatch,820.79
P00437,Classic T-Shirt,Clothing,T-Shirt,197.64
P00438,Fusion Jeans,Clothing,Jeans,1784.4
P00439,Nova Jacket,Clothing,Jacket,4758.87
P00440,Nova Sneakers,Clothing,Sneakers,3813.93
P00441,Classic Cookware,Home,Cookware,4257.11
P00442,Aura Lighting,Home,Lighting,591.43
P00443,Fusion Furniture,Home,Furniture,4916.93
P00444,Classic Decor,Home,Decor,2500.78
P00445,Nova Fiction,Books,Fiction,4864.99
P00446,Prime Business,Books,Business,3581.33
P00447,Urban Science,Books,Science,295.99
P00448,Swift Biography,Books,Biography,4494.65
P00449,Fusion Smartphone,Electronics,Smartphone,2112.24
P00450,Elite Laptop,Electronics,Laptop,2335.61
P00451,Urban Headphones,Electronics,Headphones,2937.39
P00452,Fusion Smartwatch,Electronics,Smartwatch,736.89
P00453,Classic T-Shirt,Clothing,T-Shirt,448.17
P00454,Zen Jeans,Clothing,Jeans,386.43
P00455,Prime Jacket,Clothing,Jacket,1244.92
P00456,Aura Sneakers,Clothing,Sneakers,4266.5
P00457,Classic Cookware,Home,Cookware,3527.57
P00458,Elite Lighting,Home,Lighting,1644.84
P00459,Aura Furniture,Home,Furniture,1229.37
P00460,Swift Decor,Home,Decor,749.67
P00461,Zen Fiction,Books,Fiction,616.15
P00462,Urban Business,Books,Business,888.72
P00463,Eco Science,Books,Science,1625.04
P00464,Urban Biography,Books,Biography,2716.75
P00465,Swift Smartphone,Electronics,Smartphone,2303.43
P00466,Eco Laptop,Electronics,Laptop,1383.84
P00467,Urban Headphones,Electronics,Headphones,524.87
P00468,Aura Smartwatch,Electronics,Smartwatch,4145.82
P00469,Zen T-Shirt,Clothing,T-Shirt,278.42
P00470,Elite Jeans,Clothing,Jeans,809.75
P00471,Swift Jacket,Clothing,Jacket,4844.53
P00472,Classic Sneakers,Clothing,Sneakers,2606.22
P00473,Aura Cookware,Home,Cookware,1360.02
P00474,Prime Lighting,Home,Lighting,232.92
P00475,Classic Furniture,Home,Furniture,4284.64
P00476,Fusion Decor,Home,Decor,3760.55
P00477,Swift Fiction,Books,Fiction,546.05
P00478,Urban Business,Books,Business,4035.17
P00479,Prime Science,Books,Science,677.55
P00480,Nova Biography,Books,Biography,4165.43
P00481,Swift Smartphone,Electronics,Smartphone,723.12
P00482,Classic Laptop,Electronics,Laptop,1911.42
P00483,Urban Headphones,Electronics,Headphones,2945.03
P00484,Aura Smartwatch,Electronics,Smartwatch,4593.75
P00485,Urban T-Shirt,Clothing,T-Shirt,187.26
P00486,Urban Jeans,Clothing,Jeans,1052.93
P00487,Eco Jacket,Clothing,Jacket,4061.75
P00488,Urban Sneakers,Clothing,Sneakers,4532.98
P00489,Elite Cookware,Home,Cookware,682.84
P00490,Eco Lighting,Home,Lighting,329.14
P00491,Zen Furniture,Home,Furniture,2211.13
P00492,Classic Decor,Home,Decor,2520.94
P00493,Classic Fiction,Books,Fiction,3441.41
P00494,Prime Business,Books,Business,1821.4
P00495,Prime Science,Books,Science,1432.91
P00496,Eco Biography,Books,Biography,4426.45
P00497,Nova Smartphone,Electronics,Smartphone,3101.4
P00498,Zen Laptop,Electronics,Laptop,1289.26
P00499,Aura Headphones,Electronics,Headphones,2534.55
P00500,Fusion Smartwatch,Electronics,Smartwatch,2436.83
P00501,Urban T-Shirt,Clothing,T-Shirt,1456.5
P00502,Prime Jeans,Clothing,Jeans,2142.64
P00503,Fusion Jacket,Clothing,Jacket,1305.81
P00504,Fusion Sneakers,Clothing,Sneakers,3990.64
P00505,Classic Cookware,Home,Cookware,3927.03
P00506,Elite Lighting,Home,Lighting,2440.05
P00507,Eco Furniture,Home,Furniture,1772.65
P00508,Zen Decor,Home,Decor,2551.77
P00509,Classic Fiction,Books,Fiction,1410.54
P00510,Nova Business,Books,Business,1648.88
P00511,Swift Science,Books,Science,224.17
P00512,Aura Biography,Books,Biography,368.27
P00513,Eco Smartphone,Electronics,Smartphone,2684.81
P00514,Zen Laptop,Electronics,Laptop,4998.06
P00515,Prime Headphones,Electronics,Headphones,572.66
P00516,Swift Smartwatch,Electronics,Smartwatch,1391.31
P00517,Nova T-Shirt,Clothing,T-Shirt,3839.12
P00518,Swift Jeans,Clothing,Jeans,2912.41
P00519,Classic Jacket,Clothing,Jacket,1825.64
P00520,Prime Sneakers,Clothing,Sneakers,946.41
P00521,Zen Cookware,Home,Cookware,1644.58
P00522,Elite Lighting,Home,Lighting,4576.78
P00523,Nova Furniture,Home,Furniture,3540.99
P00524,Elite Decor,Home,Decor,4741.99
P00525,Zen Fiction,Books,Fiction,779.14
P00526,Swift Business,Books,Business,4196.55
P00527,Eco Science,Books,Science,2747.25
P00528,Prime Biography,Books,Biography,2492.95
P00529,Urban Smartphone,Electronics,Smartphone,356.35
P00530,Zen Laptop,Electronics,Laptop,1156.54
P00531,Fusion Headphones,Electronics,Headphones,2431.71
P00532,Elite Smartwatch,Electronics,Smartwatch,4596.05
P00533,Swift T-Shirt,Clothing,T-Shirt,4047.71
P00534,Elite Jeans,Clothing,Jeans,3607.33
P00535,Elite Jacket,Clothing,Jacket,373.02
P00536,Prime Sneakers,Clothing,Sneakers,2966.12
P00537,Prime Cookware,Home,Cookware,3889.88
P00538,Fusion Lighting,Home,Lighting,4314.49
